Timestamp	datatype	data
721740117	accel	-1.1659029, 3.9107695, 8.8187475
721740137	accel	-1.1276177, 3.822235, 9.441181
721740124	orientation	0.0, -0.0, -0.0
721740157	accel	-0.8644072, 3.9215372, 9.025727
721740144	orientation	-1.5182841, -0.3949869, 0.12139228
721740177	accel	-0.48125646, 4.132106, 8.463115
721740165	orientation	-1.5194709, -0.39737898, 0.10689425
721740197	accel	-0.37477586, 4.0974097, 9.022138
721740185	orientation	-1.5208832, -0.4086751, 0.08654238
721740217	accel	-0.79830545, 3.7313077, 9.686445
721740205	orientation	-1.5190101, -0.4086982, 0.06898957
721740238	accel	-1.1730813, 3.4247274, 8.740981
721740225	orientation	-1.5097346, -0.3967346, 0.06828588
721740258	accel	-0.97806627, 3.9335012, 7.9363947
721740245	orientation	-1.5001533, -0.38728833, 0.07788287
721740278	accel	-0.35563326, 4.254439, 7.856235
721740265	orientation	-1.4953415, -0.38670743, 0.0807713
721740298	accel	-0.58654064, 3.769593, 8.69791
721740285	orientation	-1.4943225, -0.38735324, 0.06952072
721740318	accel	-0.92303133, 2.7317061, 9.961919
721740306	orientation	-1.4883882, -0.37664098, 0.061537664
721740338	accel	-0.9529416, 2.1499512, 10.359127
721740326	orientation	-1.4775263, -0.35037747, 0.064401805
721740359	accel	-0.9086744, 2.827419, 9.791729
721740346	orientation	-1.4697317, -0.3223555, 0.073139876
721740366	orientation	-1.4660397, -0.30714217, 0.08232533
721740379	accel	-0.80787677, 3.3230324, 9.465109
721740386	orientation	-1.4634733, -0.29864416, 0.09031695
721740399	accel	-0.96490574, 3.0032916, 9.97149
721740406	orientation	-1.4603314, -0.28786537, 0.09906968
721740419	accel	-1.3956138, 2.6431718, 10.446765
721740439	accel	-1.6088741, 2.3042881, 10.165309
721740427	orientation	-1.4551975, -0.2774838, 0.11133942
721740459	accel	-1.7608184, 2.2971098, 9.459127
721740447	orientation	-1.4490312, -0.26865208, 0.12586357
721740479	accel	-1.7572291, 2.6048865, 8.788837
721740467	orientation	-1.4416277, -0.26131675, 0.14390509
721740487	orientation	-1.4350646, -0.25597128, 0.16111657
