Timestamp	datatype	data
697152436	orientation	-1.7172022, -0.8301823, 0.24321292
697152448	accel	-1.3908281, 7.501798, 7.0615187
697152456	orientation	-1.7363292, -0.8329668, 0.21790001
697152468	accel	1.8050855, 8.548059, 7.4994054
697152476	orientation	-1.7540965, -0.83794534, 0.18970515
697152488	accel	2.2073789, 8.443972, 7.561619
697152496	orientation	-1.7590119, -0.84332937, 0.17477761
697152509	accel	1.0211371, 8.253742, 7.4730844
697152516	orientation	-1.7480897, -0.84567153, 0.18047328
697152529	accel	-0.2644069, 8.11466, 7.394121
697152536	orientation	-1.7383069, -0.847929, 0.19103943
697152549	accel	-0.70378894, 7.993822, 7.774879
697152556	orientation	-1.7336892, -0.85111374, 0.19364671
697152569	accel	-0.4142574, 8.3015995, 8.611469
697152577	orientation	-1.7318327, -0.8566693, 0.18719544
697152589	accel	-0.7588239, 8.4248295, 8.834301
697152597	orientation	-1.7291865, -0.8668095, 0.17611599
697152609	accel	-0.69541407, 8.282456, 8.388937
697152617	orientation	-1.7234123, -0.88084567, 0.16442464
697152629	accel	0.4022933, 8.226225, 8.315956
697152637	orientation	-1.7153357, -0.8970276, 0.15401687
697152650	accel	-0.0741775, 8.048857, 8.329117
697152657	orientation	-1.7014248, -0.9146411, 0.14799751
697152670	accel	-0.8138588, 7.636095, 7.406085
697152677	orientation	-1.6841011, -0.93402296, 0.14387867
697152690	accel	-1.2424731, 7.8263245, 6.6364937
697152697	orientation	-1.6648971, -0.9547822, 0.13933884
697152710	accel	-1.1132607, 7.8813596, 6.7585278
697152718	orientation	-1.6449723, -0.9772829, 0.13546811
697152730	accel	-0.40468612, 7.774879, 6.283253
697152738	orientation	-1.6255771, -1.0019139, 0.1327353
697152750	accel	-0.16510476, 7.8083787, 6.3921266
697152758	orientation	-1.6030165, -1.0287981, 0.13226339
697152770	accel	0.36041892, 8.394919, 6.2294145
697152778	orientation	-1.5724344, -1.0580523, 0.13785668
697152791	accel	0.5721837, 8.259725, 6.2066827
697152798	orientation	-1.5339581, -1.0882286, 0.15331942
697152811	accel	1.0366904, 8.226225, 5.7433724
697152818	orientation	-1.4852201, -1.1199377, 0.18225716
697152831	accel	2.1248264, 8.320742, 4.6061835
697152839	orientation	-1.4232116, -1.1513544, 0.22786546
697152851	accel	3.0607193, 8.621041, 4.0088754
697152859	orientation	-1.3399541, -1.1791251, 0.29835734
697152871	accel	4.0184464, 8.447561, 3.3278182
697152879	orientation	-1.2337393, -1.2004349, 0.39903378
697152891	accel	3.4977086, 7.9722867, 2.6599214
697152899	orientation	-1.105966, -1.2116954, 0.52689993
697152912	accel	2.888436, 7.382157, 2.321038
697152919	orientation	-0.96677595, -1.2118213, 0.6681934
697152932	accel	2.1308086, 6.4256263, 1.9067806
697152939	orientation	-0.8214286, -1.1996807, 0.8130797
697152952	accel	1.4676976, 5.6967125, 0.9302098
